race_id,umaban,horse,jockey,weight,odds,score
202605020409,4,マイネルトルファン,柴田大,518(+2),9.1,0.09900990099009901
202605020409,5,フクノブルーレイク,松岡,460(+2),9.7,0.09345794392523366
202605020409,6,アスクセクシーモア,岩田康,480(+6),9.9,0.09174311926605504
202605020409,7,トラマンダーレ,団野,508(-8),11.7,0.07874015748031496
202605020409,8,キャントウェイト,石橋脩,480(+4),13.0,0.07142857142857142
202605020409,9,ミッキーゴールド,菅原明,498(+4),19.1,0.04975124378109452
202605020409,10,キュクヌス,高杉,450(-2),27.4,0.035211267605633804
202605020409,11,キングノジョー,佐々木,456(0),37.9,0.02570694087403599
202605020409,12,ヴァリディシームス,ディー,494(0),45.0,0.021739130434782608
202605020409,13,ホウオウアートマン,田辺,470(-2),49.1,0.01996007984031936
202605020409,14,エゾダイモン,浜中,470(-4),50.6,0.01937984496124031
202605020409,15,イケイケドンドン,木幡巧,486(+8),72.6,0.013586956521739132
202605020409,19,モズロックンロール,西塚,524(+6),113.2,0.008756567425569177
202605020409,16,ログラール,横山武,474(0),126.7,0.007830853563038372
202605020409,17,チルカーノ,原,480(+6),131.2,0.007564296520423602
202605020409,18,ユキワリザクラ,三浦,478(+2),156.8,0.0063371356147021544
202605020410,1,馬名,騎手,"馬体重
(増減)",4.7,0.17543859649122806
202605020410,2,メイショウフンジン,石橋脩,512(-8),5.1,0.1639344262295082
202605020410,3,メイショウズイウン,浜中,504(+2),5.5,0.15384615384615385
202605020410,4,ダイシンピスケス,横山和,518(+8),6.0,0.14285714285714285
202605020410,5,ロードプレジール,岩田康,512(+6),9.1,0.09900990099009901
202605020410,6,ゼットリアン,団野,448(0),10.2,0.08928571428571429
202605020410,7,ピカピカサンダー,三浦,506(+8),15.8,0.05952380952380952
202605020410,8,アムールドパリ,佐々木,448(-4),16.1,0.05847953216374269
202605020410,9,クールミラボー,横山武,508(+2),17.0,0.05555555555555555
202605020410,10,ハギノサステナブル,高杉,486(+2),35.2,0.027624309392265192
202605020410,11,レヴォントゥレット,菅原明,492(0),35.4,0.027472527472527472
202605020410,17,キョウキランブ,北村宏,524(-2),51.5,0.01904761904761905
202605020410,12,サクラトップリアル,大野,526(+16),62.0,0.015873015873015872
202605020410,13,リアレスト,田辺,526(0),73.0,0.013513513513513514
202605020410,14,メイショウユズルハ,小崎,516(-4),112.5,0.00881057268722467
202605020410,15,タイトニット,荻野極,552(-4),146.4,0.006784260515603799
202605020410,16,レッドプロフェシー,原,484(-4),175.4,0.005668934240362812
202605020411,1,馬名,騎手,"馬体重
(増減)",2.5,0.2857142857142857
202605020411,2,ベルウッドクレド,大野,464(+10),6.0,0.14285714285714285
202605020411,3,レッドラージャ,西塚,514(+8),6.5,0.13333333333333333
202605020411,4,トーセンブリラーレ,長浜,510(+10),10.5,0.08695652173913043
202605020411,5,ヘイジュード,浜中,484(-2),12.5,0.07407407407407407
202605020411,6,ウィロークリーク,田辺,480(+4),13.1,0.07092198581560284
202605020411,7,マイネルクオリア,松岡,502(0),18.4,0.051546391752577324
202605020411,8,ヴィサージュ,横山典,506(+8),18.6,0.0510204081632653
202605020411,9,ボンドマティーニ,横山和,468(+2),21.2,0.04504504504504505
202605020411,10,マテンロウゼロ,石橋脩,470(+4),26.3,0.03663003663003663
202605020411,11,エーデルゼーレ,佐々木,460(-10),44.6,0.021929824561403508
202605020411,12,オルフセン,岩田康,492(+8),44.7,0.02188183807439825
202605020411,13,メイショウハチコウ,ディー,510(+2),54.8,0.01792114695340502
202605020411,16,ショウグンマサムネ,荻野極,478(+2),55.2,0.01779359430604982
202605020411,14,ジャスティンシカゴ,原,506(+6),64.2,0.015337423312883436
202605020411,15,ミッキージャンプ,菅原明,456(-10),92.0,0.010752688172043012
202605020412,1,馬名,騎手,"馬体重
(増減)",2.7,0.27027027027027023
202605020412,2,スムースベルベット,柴田大,504(0),5.3,0.15873015873015872
202605020412,3,クレイヴィンオナー,岩田康,528(-2),5.9,0.14492753623188406
202605020412,4,アオカミ,江田照,478(-8),7.6,0.11627906976744186
202605020412,5,ベンダバール,国分恭,482(+4),8.7,0.10309278350515465
202605020412,6,エイプリルインパリ,小崎,466(0),9.5,0.09523809523809523
202605020412,7,ルーフオブヘヴン,佐々木,478(+8),18.1,0.05235602094240837
